site_number,site,gacc,state,grup,lat,lng,active,currency,url
0,12 Rd @ 54 Rd,NOCC,CA,Tahoe NF,39.570555555556,-120.49277777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=12 Rd @ 54 Rd&gacc=NOCC&state=CA&grup=Tahoe NF
1,12 Rd @ CG,NOCC,CA,Tahoe NF,39.607222222222,-120.48027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=12 Rd @ CG&gacc=NOCC&state=CA&grup=Tahoe NF
2,17Rd,NOCC,CA,Lassen NF,40.362222222222,-121.63666666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=17Rd&gacc=NOCC&state=CA&grup=Lassen NF
3,25 Road Chinquapin,NOCC,CA,Tahoe NF,39.539166666667,-121.00194444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=25 Road Chinquapin&gacc=NOCC&state=CA&grup=Tahoe NF
4,25 Road manzanita,NOCC,CA,Tahoe NF,39.539166666667,-121.00194444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=25 Road manzanita&gacc=NOCC&state=CA&grup=Tahoe NF
5,4S Ranch,SOCC,CA,Rancho Santa Fe Fire Protection,33.035,-117.10333333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=4S Ranch&gacc=SOCC&state=CA&grup=Rancho Santa Fe Fire Protection
6,Alder,NOCC,CA,Mendocino NF,39.648888888889,-122.73055555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Alder&gacc=NOCC&state=CA&grup=Mendocino NF
7,Alder 1000 hr,NOCC,CA,Mendocino NF,39.648888888889,-122.73055555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Alder 1000 hr&gacc=NOCC&state=CA&grup=Mendocino NF
8,Alder 19,NOCC,CA,Mendocino NF,39.6575,-122.71861111111,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Alder 19&gacc=NOCC&state=CA&grup=Mendocino NF
9,Alder New,NOCC,CA,Mendocino NF,39.648888888889,-122.73055555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Alder New&gacc=NOCC&state=CA&grup=Mendocino NF
10,Alderpoint,NOCC,CA,PGE - NOCC,40.186388888889,-123.58944444444,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Alderpoint&gacc=NOCC&state=CA&grup=PGE - NOCC
11,Ammon,NOCC,CA,Six Rivers NF,40.835277777778,-123.59972222222,1,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Ammon&gacc=NOCC&state=CA&grup=Six Rivers NF
12,Angeles Forest Hwy,SOCC,CA,SCE,34.425,-118.08944444444,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Angeles Forest Hwy&gacc=SOCC&state=CA&grup=SCE
13,Anza,SOCC,CA,SCE,33.548333333333,-116.71777777778,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Anza&gacc=SOCC&state=CA&grup=SCE
14,Anza,SOCC,CA,CDF Riverside Unit,33.548333333333,-116.7175,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Anza&gacc=SOCC&state=CA&grup=CDF Riverside Unit
15,"Apperson Manzanita, Whiteleaf New",SOCC,CA,Sierra NF,36.956388888889,-119.2075,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Apperson Manzanita, Whiteleaf New&gacc=SOCC&state=CA&grup=Sierra NF"
16,"Apperson Manzanita, Whiteleaf Old",SOCC,CA,Sierra NF,36.956388888889,-119.2075,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Apperson Manzanita, Whiteleaf Old&gacc=SOCC&state=CA&grup=Sierra NF"
17,Ash Mountain,SOCC,CA,Sequoia-Kings NP,36.489166666667,-118.82722222222,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Ash Mountain&gacc=SOCC&state=CA&grup=Sequoia-Kings NP
18,Badger Pass,SOCC,CA,Yosemite NP,37.662777777778,-119.66138888889,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Badger Pass&gacc=SOCC&state=CA&grup=Yosemite NP
19,Bald Mountain Lookout,NOCC,CA,Eldorado NF,38.905555555556,-120.70833333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Bald Mountain Lookout&gacc=NOCC&state=CA&grup=Eldorado NF
20,Banning,SOCC,CA,SCE,33.905555555556,-116.88138888889,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Banning&gacc=SOCC&state=CA&grup=SCE
21,"Barnes Manzanita, Whiteleaf New",SOCC,CA,Sierra NF,37.012222222222,-119.23527777778,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Barnes Manzanita, Whiteleaf New&gacc=SOCC&state=CA&grup=Sierra NF"
22,"Barnes Manzanita, Whiteleaf Old",SOCC,CA,Sierra NF,37.012222222222,-119.23527777778,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Barnes Manzanita, Whiteleaf Old&gacc=SOCC&state=CA&grup=Sierra NF"
23,Barnes Mountain,SOCC,CA,PGE-SOCC,37.026111111111,-119.25083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Barnes Mountain&gacc=SOCC&state=CA&grup=PGE-SOCC
24,"Barnes Pine, Ponderosa",SOCC,CA,Sierra NF,37.012222222222,-119.23527777778,0,3,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Barnes Pine, Ponderosa&gacc=SOCC&state=CA&grup=Sierra NF"
25,Barrett,SOCC,CA,SDG&E,32.666388888889,-116.7,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Barrett&gacc=SOCC&state=CA&grup=SDG&E
26,Basin,NOCC,CA,Lassen NF,40.377777777778,-121.32694444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Basin&gacc=NOCC&state=CA&grup=Lassen NF
27,Big Bar,NOCC,CA,Shasta-Trinity NF,40.742222222222,-123.24916666667,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Big Bar&gacc=NOCC&state=CA&grup=Shasta-Trinity NF
28,Big Creek,SOCC,CA,SCE,37.191111111111,-119.28027777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Big Creek&gacc=SOCC&state=CA&grup=SCE
29,Big Hill,NOCC,CA,Eldorado NF,38.828888888889,-120.40305555556,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Big Hill&gacc=NOCC&state=CA&grup=Eldorado NF
30,Big Trees,NOCC,CA,Tahoe NF,39.0525,-120.55527777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Big Trees&gacc=NOCC&state=CA&grup=Tahoe NF
31,Big Valley,NOCC,CA,CalFire Lassen-Modoc Unit,41.065555555556,-121.21944444444,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Big Valley&gacc=NOCC&state=CA&grup=CalFire Lassen-Modoc Unit
32,Bishop/Keoughs Hot Springs,SOCC,CA,SCE,37.260555555556,-118.36722222222,0,1,http://www.wfas.net/nfmd/public/download_site_data.php?site=Bishop/Keoughs Hot Springs&gacc=SOCC&state=CA&grup=SCE
33,"Bitter Canyon, Castaic",SOCC,CA,LA County,34.51,-118.59444444444,0,2,"http://www.wfas.net/nfmd/public/download_site_data.php?site=Bitter Canyon, Castaic&gacc=SOCC&state=CA&grup=LA County"
34,Black Star,SOCC,CA,Orange County Fire,33.754722222222,-117.67083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Black Star&gacc=SOCC&state=CA&grup=Orange County Fire
35,Black Star CNF,SOCC,CA,Cleveland NF,33.754722222222,-117.67083333333,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Black Star CNF&gacc=SOCC&state=CA&grup=Cleveland NF
36,Blackberry Hill,NOCC,CA,CalFire Santa Clara Unit,37.210833333333,-121.95388888889,0,2,http://www.wfas.net/nfmd/public/download_site_data.php?site=Blackberry Hill&gacc=NOCC&state=CA&grup=CalFire Santa Clara Unit
37,Blatchley,NOCC,CA,Tahoe NF,39.525,-120.32777777778,0,3,http://www.wfas.net/nfmd/public/download_site_data.php?site=Blatchley&gacc=NOCC&state=CA&grup=Tahoe NF
